epoch,train_loss,val_relative_l2,val_mse,lr
0,1.0010505718844278,0.9964209335190909,1.1647870915276664,0.001
1,0.9888595862048013,0.980717910187585,1.1154082268476486,0.001
2,0.9646933334214347,0.9525061879839216,1.043748500943184,0.001
3,0.9440428027084895,0.9420914462634495,1.0039254707949503,0.001
4,0.9300030606133597,0.9315580802304404,0.9775983012148313,0.001
5,0.9199910632201603,0.938915992634637,0.9806812392813818,0.001
6,0.9073588124343327,0.9262637598173958,0.9604104872260775,0.001
7,0.8949338742664882,0.9266475132533483,0.964421372967107,0.001
8,0.8901331876005445,0.9246701887675695,0.9586887308529445,0.001
9,0.878737622499466,0.9270309575966427,0.9728684614811625,0.001
10,0.8636753286634172,0.9381137660571507,1.0092696085572244,0.001
11,0.8401274170194354,0.932207168000085,0.9907969598259244,0.001
12,0.8204214462212154,0.9387719792979105,1.0201880001596042,0.001
13,0.8371789566108159,0.9510076761245727,1.0557500702994211,0.001
14,0.8146151781082154,0.9538598818438394,1.0793988947357451,0.001
15,0.7831792942115239,0.9450507061822074,1.0331555741173881,0.001
16,0.775676063980375,0.9695714712142944,1.1129872224160604,0.001
17,0.7770595371723175,0.9702972744192396,1.114400703566415,0.001
18,0.7414708060877664,0.9583857817309244,1.0910125677074705,0.001
19,0.7322584365095411,0.9621625781059265,1.1039723042930876,0.001
